ligand_id,smiles,affinity
17072,[H]c1c(C([H])([H])[H])nc(C([H])([H])[H])c(-n2nc(N([H])C(=O)N([H])C(=O)[C@]3([H])C([H])([H])[C@@]([H])(c4c([H])c([H])c([H])c([H])c4[H])N(C(=O)C4([H])C([H])([H])C([H])([H])C4([H])[H])[C@@]3([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c1[H],0.23828125
45029,[H]c1nnn(C([H])([H])c2c([H])c([H])c([C@@]3([H])N(C([H])([H])n4nnnc4[H])[C@@]([H])(c4c([H])c([H])c([H])c(C([H])([H])[H])c4[H])C([H])([H])[C@]3([H])C(=O)N([H])C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])c2[H])c1[H],0.233154296875
45447,[H]c1nc([H])c([C@]2([H])N(S(=O)(=O)c3c([H])c([H])c([H])c(Cl)c3[H])[C@@]([H])(c3c([H])c([H])nc([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])c3c([H])c([H])c(F)c([H])c3[H])C2([H])[H])c([H])c1[H],0.23291015625
30672,[H]OC([H])([H])C([H])([H])N1[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[C@]([H])(C(=O)N([H])C(=O)N([H])c2sc3c(c2[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@]1([H])c1oc([H])c([H])c1[H],0.2279052734375
26030,[H]c1nc([H])c([H])c([C@@]2([H])N(C3([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])c4nc(C5([H])C([H])([H])C5([H])[H])n(C([H])([H])[H])n4)C([H])([H])C3([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])C([H])([H])[H])c1[H],0.227294921875
5277,[H]c1c([H])c([H])c([C@@]2([H])N([C@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])C2=NN([H])C([H])([H])C2([H])[H])c([H])c1[H],0.2252197265625
8130,[H]c1oc([C@@]2([H])N(C(=O)OC([H])([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@@]([H])(C(=O)N([H])C(=O)N([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C3([H])[H])C2([H])[H])c([H])c1[H],0.223876953125
10005,[H]Oc1c([H])c(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(c3nc([H])nc([H])n3)[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])O2,0.221435546875
10278,[H]c1c([H])c([H])c([C@@]2([H])N(C(=O)C([H])([H])Oc3c([H])c([H])c(C([H])([H])[H])c(F)c3[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@]2([H])C(=O)N([H])C(=O)N([H])[C@@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],0.220703125
18112,[H]c1c(-n2nc(C([H])([H])[H])c([H])c2[H])nc(C([H])([H])N2[C@@]([H])(c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])C([H])([H])[C@@]([H])(C(=O)N([H])C(=O)N([H])C([H])([H])[H])[C@]2([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],0.2198486328125
