ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL369916,,,Small molecule,,602.74,2,3,-0.83,257.27,7,10,2,20,N,0.04,12.01,11.75,-1.67,-5.91,1,MOL,-1,43,15,12,3,602.3653,0.17,BASE,C28H46N10O5,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,RBOVBMBEVYITQH-QESAQDPVSA-N
CHEMBL1346887,,,Small molecule,,445.29,35,46,4.53,91.57,4,3,0,4,N,0.51,3.59,None,5.31,1.97,3,MOL,-1,27,6,3,0,443.9779,-1.51,ACID,C19H13BrN2O4S,O=C(NC(=S)Nc1ccccc1C(=O)O)c1ccc(-c2ccc(Br)cc2)o1,LNBKOWMKIJWUAU-UHFFFAOYSA-N
CHEMBL4468338,,,Unknown,,507.64,2,2,2.12,133.63,5,4,1,14,N,0.23,11.95,10.19,1.96,-0.53,2,MOL,-1,37,9,5,1,507.2846,-0.32,BASE,C28H37N5O4,CCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1ccccc1)C(=O)N[C@H]1CN(c2ccccc2)C1=O,GKEXUVXWLORJJV-HJOGWXRNSA-N
CHEMBL256877,,,Small molecule,,659.84,2,5,-0.72,283.29,8,11,2,24,N,0.03,12.07,12,-1.81,-8.64,1,MOL,-1,47,16,14,3,659.4231,0.29,BASE,C31H53N11O5,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,SYXUZVGQAZAZDV-QORCZRPOSA-N
CHEMBL1587073,,,Small molecule,,369.46,20,22,4.73,77.84,4,2,0,10,N,0.59,3.26,3.99,5.3,2.46,2,MOL,-1,27,5,2,0,369.194,-0.49,ACID,C22H27NO4,CCCCN(CCCC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,QPNFUBAIQZJEPO-UHFFFAOYSA-N
CHEMBL1425797,,,Small molecule,,450.49,20,25,5.24,106.01,7,1,1,9,N,0.35,7.41,None,3.94,3.64,3,MOL,-1,33,8,1,1,450.1791,-1.39,NEUTRAL,C25H26N2O6,CCCCCOc1ccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2cc(C)on2)cc1,XGCGUXPBAZEMKX-UHFFFAOYSA-N
CHEMBL3194086,,,Small molecule,,293.28,46,61,2.6,83.47,4,2,0,3,N,0.85,3.9,None,3.19,-0.02,2,MOL,-1,22,5,2,0,293.0688,0.18,ACID,C17H11NO4,O=C1C=C(Nc2ccccc2C(=O)O)c2ccccc2C1=O,DKNWWFXZRIJCFI-UHFFFAOYSA-N
CHEMBL4634206,,,Unknown,,573.61,5,9,4.9,93.45,4,3,0,12,N,0.27,12.27,4.23,4.52,4.52,3,MOL,-1,34,6,4,0,459.2522,-0.78,NEUTRAL,C30H34F3N3O5,CCCCCC(=O)N[C@H](C(=O)NCc1ccc(N)cc1)c1ccc(OCc2ccccc2)cc1.O=C(O)C(F)(F)F,WGHSOULXIVDTRU-YCBFMBTMSA-N
CHEMBL1604527,,,Small molecule,,331.35,37,48,2.22,80.75,5,0,0,3,N,0.81,None,None,3.47,3.47,2,MOL,-1,23,6,0,0,331.0514,-0.95,None,C16H13NO5S,Cc1ccc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,ZNJYKWXQBAFTQM-UHFFFAOYSA-N
CHEMBL1370708,,,Small molecule,,449.47,25,32,2.56,137.2,8,1,0,6,N,0.4,9.76,None,2.63,2.63,2,MOL,-1,30,10,1,0,449.0351,-1.49,NEUTRAL,C18H15N3O7S2,COc1cc(/C=C2/SC(NS(=O)(=O)c3ccccc3)=NC2=O)c([N+](=O)[O-])cc1OC,DXPFGKPJCBOMGO-CXUHLZMHSA-N
