ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL5091919,,,Unknown,,422.81,1,1,2.48,147.42,9,1,0,5,N,0.37,None,None,3.27,3.27,3,MOL,-1,28,10,2,0,422.0088,-1.6,NEUTRAL,C16H11ClN4O6S,Nc1cc(OC(=O)c2ccc([N+](=O)[O-])cc2)nn1S(=O)(=O)c1ccc(Cl)cc1,NLQILOYFFSPPJZ-UHFFFAOYSA-N
CHEMBL5088747,,,Unknown,,480.46,1,1,3.62,156.65,10,1,0,7,N,0.24,None,None,4.16,4.16,4,MOL,-1,34,11,2,1,480.074,-1.27,NEUTRAL,C22H16N4O7S,Nc1cc(OC(=O)c2ccc([N+](=O)[O-])cc2)nn1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,ADGMDCXGLBRQSM-UHFFFAOYSA-N
CHEMBL1327612,,,Small molecule,,305.25,16,18,1.68,138.84,8,3,0,4,N,0.57,8.78,None,2.77,2.75,2,MOL,-1,22,9,3,0,305.0648,-0.5,NEUTRAL,C13H11N3O6,COc1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1O,WHTWQZXNVNSSCA-AATRIKPKSA-N
CHEMBL1334452,,,Small molecule,,349.35,48,58,2.87,101.39,6,2,0,5,N,0.57,None,None,1.87,1.87,4,MOL,-1,26,7,2,0,349.1063,-1.07,NEUTRAL,C19H15N3O4,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,DIJZDJPXWPNEOI-UHFFFAOYSA-N
CHEMBL5090699,,,Unknown,,401.44,1,1,2.63,113.51,8,1,0,6,N,0.63,None,None,3.44,3.44,3,MOL,-1,28,8,2,0,401.1045,-1.36,NEUTRAL,C19H19N3O5S,CCOc1ccc(S(=O)(=O)n2nc(OC(=O)c3ccc(C)cc3)cc2N)cc1,FLOBDCJLKIWIHX-UHFFFAOYSA-N
CHEMBL1443679,,,Small molecule,,387.46,37,47,4.21,92.7,5,2,0,6,N,0.57,2.78,None,5.53,2.04,2,MOL,-1,27,6,2,0,387.114,-0.74,ACID,C20H21NO5S,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)C)cc1,KNWCZRXQURNYDN-MDZDMXLPSA-N
CHEMBL1392133,,,Small molecule,,428.55,15,17,4.78,109.49,4,3,0,6,N,0.62,4.57,None,5.53,2.78,2,MOL,-1,30,6,4,0,428.177,-0.93,ACID,C23H28N2O4S,Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)C)cc1,PYNJLWRXJQEMHX-UHFFFAOYSA-N
CHEMBL1425314,,,Small molecule,,352.41,36,43,4.86,73.12,3,2,0,3,N,0.47,6.82,None,4.83,4.15,2,MOL,-1,26,4,2,0,352.1587,-1.88,NEUTRAL,C21H21FN2O2,Cc1ccc(F)c(NC(=O)/C(C#N)=C(\O)c2ccc(C(C)(C)C)cc2)c1,PGHKSDYRLSZKEF-MNDPQUGUSA-N
CHEMBL1471595,,,Small molecule,,390.86,35,42,4.3,69.67,5,0,0,5,N,0.4,None,None,3.9,3.9,0,MOL,-1,27,5,0,0,390.1234,2.8,NEUTRAL,C21H23ClO5,CCC(C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)C(C)(OC(C)=O)C(=O)C2=CO1,SWJLTKXURNHVHE-NJHPPEEMSA-N
CHEMBL1373316,,,Small molecule,,338.79,44,64,2.06,89.75,7,0,0,4,N,0.62,None,None,2.09,2.09,1,MOL,-1,20,7,0,0,337.9798,-1.34,NEUTRAL,C10H11ClN2O5S2,C=CS(=O)(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],BDUFBTGQWFRIIG-UHFFFAOYSA-N
CHEMBL4849423,,,Unknown,,509.63,4,5,4.29,127.59,5,3,1,12,N,0.31,10.25,None,4.25,4.25,3,MOL,-1,36,8,4,1,509.1984,-1.15,NEUTRAL,C27H31N3O5S,CCCCCC(=O)N[C@H](C(=O)Nc1ccc(S(N)(=O)=O)cc1)c1ccc(OCc2ccccc2)cc1,FNHJVUIJPBASMM-SANMLTNESA-N
CHEMBL1995904,,,Small molecule,,448.48,31,39,4.68,115.09,7,2,0,9,N,0.28,12.67,4.37,5.36,5.36,3,MOL,-1,33,9,2,0,448.1747,-1.73,NEUTRAL,C24H24N4O5,COc1cc(/C=N\Nc2ccc([N+](=O)[O-])cc2)ccc1OCC(=O)Nc1ccc(C)c(C)c1,DGSPNPFDMSEQDG-QFEZKATASA-N
CHEMBL1467893,,,Small molecule,,435.6,24,34,5.02,77.24,9,1,1,6,N,0.33,13.07,0.02,6.82,6.82,3,MOL,-1,28,6,1,1,435.0745,-1.85,NEUTRAL,C19H21N3O3S3,CCOc1ccc(-n2c(=S)sc3c(O)nc(SCC(=O)C(C)(C)C)nc32)cc1,QTSWRTUBNSQYTA-UHFFFAOYSA-N
CHEMBL4637376,,,Unknown,,615.65,5,10,4.62,129.33,4,5,1,13,N,0.13,12.19,10.28,4.23,2.04,3,MOL,-1,37,8,6,2,501.274,-0.82,BASE,C31H36F3N5O5,CCCCCC(=O)N[C@@H](C(=O)NCc1ccc(NC(=N)N)cc1)c1ccc(OCc2ccccc2)cc1.O=C(O)C(F)(F)F,RMLDGSREBIUICI-HZPIKELBSA-N
CHEMBL1516335,,,Small molecule,,403.46,19,19,3.69,66.84,5,1,0,6,N,0.59,3.38,None,4.15,0.74,2,MOL,-1,27,5,1,0,403.0348,-1.74,ACID,C19H14FNO4S2,O=C(O)CN1C(=O)/C(=C\c2ccccc2OCc2ccc(F)cc2)SC1=S,QTPUSRCZVSTLDV-CXUHLZMHSA-N
CHEMBL1421193,,,Small molecule,,402.46,30,36,2.74,139.82,7,1,0,1,N,0.76,None,4.88,0.05,0.05,1,MOL,-1,30,8,2,0,402.1804,-0.93,NEUTRAL,C22H22N6O2,CC(C)(C)OC(=O)N1CC=C2C(C#N)=C(N)C(C#N)(C#N)[C@H](c3cccnc3)[C@H]2C1,RQEJNDVQCMTJEN-ZWKOTPCHSA-N
CHEMBL1418928,,,Small molecule,,413.5,17,19,4.51,92.7,5,2,0,6,N,0.54,4.16,None,5.3,2.24,2,MOL,-1,29,6,2,0,413.1297,-1.17,ACID,C22H23NO5S,CCOC(=O)c1c(-c2cccc(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,LEEADSBKBGVHNS-UHFFFAOYSA-N
CHEMBL1562723,,,Small molecule,,449.53,27,30,3.65,93.14,8,1,0,7,N,0.3,3.2,None,4.21,0.77,2,MOL,-1,29,7,1,0,449.0062,-1.7,ACID,C19H15NO6S3,CCOc1cc(/C=C2/SC(=S)N(CC(=O)O)C2=O)ccc1OC(=O)c1cccs1,ICVSNZOVFKOQLG-OQLLNIDSSA-N
CHEMBL1302524,,,Small molecule,,369.76,52,80,3.27,91.75,4,1,0,3,N,0.9,4.08,None,2.09,-1.02,2,MOL,-1,26,6,1,0,369.0404,-0.47,ACID,C19H12ClNO5,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,SLPYZNNPGREBMV-UHFFFAOYSA-N
CHEMBL1308404,,,Small molecule,,306.67,51,90,3.23,114.32,7,2,0,3,N,0.43,9.91,None,4.3,4.3,3,MOL,-1,21,8,2,0,306.0156,-1.42,NEUTRAL,C12H7ClN4O4,O=[N+]([O-])c1c(Nc2ccc(O)cc2)cc(Cl)c2nonc12,OBXCWWZWQQDMOY-UHFFFAOYSA-N
CHEMBL1580345,,,Small molecule,,348.32,33,43,2.4,110.89,6,1,0,2,N,0.34,6.29,None,2.74,1.66,2,MOL,-1,26,8,1,0,348.0859,-1.4,ACID,C18H12N4O4,Cc1ccc(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)cc1,AHOQBMMKXUYLMD-UHFFFAOYSA-N
CHEMBL1415513,,,Small molecule,,368.37,35,44,3.74,110.96,5,4,0,4,N,0.44,3.57,3.24,1.29,-0.78,4,MOL,-1,27,7,4,0,368.1285,-0.93,ACID,C19H17FN4O3,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(F)cc2)o1)c1c(C)n[nH]c1O,IACRSNRLSUSVQH-UHFFFAOYSA-N
CHEMBL1462469,,,Small molecule,,486.6,31,36,4.87,114.3,9,2,0,7,N,0.28,3.2,2.14,4.79,1.45,4,MOL,-1,32,8,2,0,486.049,-2.33,ACID,C21H18N4O4S3,COc1ccc(-c2csc(NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)n2)cc1,OOICNUJTUPIFBG-UHFFFAOYSA-N
CHEMBL5199388,,,,,359.19,9,23,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,359.1329,None,None,C21H18BNO4,O=C(Nc1ccc2c(c1)B(O)OC2)c1cccc(OCc2ccccc2)c1,GHUDHIUTQRFWGW-UHFFFAOYSA-N
CHEMBL5176257,,,,,556.66,7,9,5.63,92.34,4,2,2,11,N,0.25,None,None,6.49,6.49,4,MOL,0,40,6,2,2,556.1832,-0.65,NEUTRAL,C32H29FN2O4S,O=C(NCc1ccccc1C(=O)N[C@H](/C=C(\F)S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccccc1,YFPRNVKEYWUQQU-UGYRVVAPSA-N
CHEMBL5188282,,,,,373.22,8,11,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,373.1485,None,None,C22H20BNO4,Cc1cccc(COc2cccc(C(=O)Nc3ccc4c(c3)B(O)OC4)c2)c1,FPKBPHYZHFUQTD-UHFFFAOYSA-N
CHEMBL1479624,,,Small molecule,,438.44,17,19,4.01,121.28,6,3,0,6,N,0.42,4.6,None,4.22,0.7,4,MOL,-1,31,8,3,0,438.0798,-1.43,ACID,C21H15FN4O4S,O=C(O)c1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(F)cc2)cc1,PIULBZSENAIQJZ-UHFFFAOYSA-N
CHEMBL1566530,,,Small molecule,,498.81,33,35,4.97,66.84,5,1,0,6,N,0.45,2.78,None,5.38,1.89,2,MOL,-1,28,5,1,0,496.9158,-1.87,ACID,C19H13BrClNO4S2,O=C(O)CN1C(=O)/C(=C\c2cc(Br)ccc2OCc2ccccc2Cl)SC1=S,AIZIUORFVVXUMS-LZYBPNLTSA-N
CHEMBL506247,TANNIC ACID,"ASIAN HOLLY OAK NUTGALL|E181|FEMA NO. 3042|GALLOTANNIC ACID|GALLOTANNIN|NSC-656273|NSC-758670|TANNIC ACID|TANNIC ACID, UNSPECIFIED|TANNICUM ACIDUM",Unknown,4,1701.21,145,1866,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,1700.173,None,None,C76H52O46,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,LRBQNJMCXXYXIU-PPKXGCFTSA-N
CHEMBL4849531,,,Unknown,,783.97,1,3,2.65,256.64,8,9,2,22,N,0.04,11.65,11.46,1.77,-2.68,3,MOL,-1,57,15,12,3,783.4432,-0.2,BASE,C42H57N9O6,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(=O)N[C@H](C(N)=O)C1CCCCC1)c1ccc(OCc2ccccc2)cc1,ZDNCEIGKANZROS-SKXFTCKDSA-N
CHEMBL5195328,,,,,359.19,6,9,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,359.1329,None,None,C21H18BNO4,O=C(Nc1ccc2c(c1)B(O)OC2)c1ccc(OCc2ccccc2)cc1,MSAPXSVIUBZDOQ-UHFFFAOYSA-N
CHEMBL4555655,,,Unknown,,774.92,6,8,3.01,241.24,10,8,2,22,N,0.03,11.59,11.92,1.46,-2.89,3,MOL,-1,56,16,10,3,774.4065,-0.04,BASE,C40H54N8O8,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)c1ccccc1,CFFBEJSVZXPJCV-CTYJAXBYSA-N
CHEMBL1429320,,,Small molecule,,471.52,19,22,4.89,89.03,7,2,0,3,N,0.41,8.2,0.56,5.95,5.89,4,MOL,-1,34,7,2,0,471.1165,-1.17,NEUTRAL,C25H18FN5O2S,Cc1ccc(CSc2nnc3c(n2)OC2(Nc4ccccc4-3)C(=O)Nc3ccc(F)cc32)cc1,AYJSQQUDSTUTJG-UHFFFAOYSA-N
CHEMBL1336283,,,Small molecule,,515.57,43,45,4.44,163.03,7,5,1,8,N,0.1,3.84,4.48,4.7,1.3,3,MOL,-1,35,11,4,2,515.0933,-1.77,ACID,C22H21N5O6S2,Cc1ccc(NC(S)=NNc2ccc([N+](=O)[O-])cc2S(=O)(=O)Nc2ccccc2C(=O)O)cc1C,SWHACQNPIPSMSC-UHFFFAOYSA-N
CHEMBL1325759,,,Small molecule,,448.37,24,26,3.59,131.74,7,1,0,5,N,0.27,6.55,None,3.62,2.75,3,MOL,-1,33,10,1,0,448.0819,-1.83,NEUTRAL,C22H13FN4O6,O=C1NC(=O)N(c2ccccc2F)C(=O)/C1=C/c1ccc(Oc2ccc([N+](=O)[O-])cn2)cc1,FLKDPUOGWPHJAL-LFIBNONCSA-N
CHEMBL1406745,,,Small molecule,,442.27,25,28,4.72,83.89,5,1,0,5,N,0.58,8.9,None,3.07,3.05,3,MOL,-1,28,6,1,0,441.0212,-1.42,NEUTRAL,C21H16BrNO5,Cc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C(O)C(=O)N2Cc2ccco2)o1,AHXPDTWKSROQHD-UHFFFAOYSA-N
CHEMBL1543611,,,Small molecule,,302.29,22,25,3.8,69.36,6,0,0,2,N,0.5,None,None,3.29,3.29,5,MOL,-1,23,6,0,0,302.0804,-1.43,NEUTRAL,C17H10N4O2,c1coc(-c2nc3nc4ccccc4n3nc2-c2ccco2)c1,ZNQLTYAOIDPWDT-UHFFFAOYSA-N
CHEMBL5194503,,,,,619.77,1,2,-1.64,286.45,8,12,2,22,N,0.04,3.97,11.84,-3.94,-9.15,1,MOL,0,44,16,15,3,619.3918,0.02,ZWITTERION,C28H49N11O5,C[C@H](NCc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,IJUFAKLCPMNIBZ-QESAQDPVSA-N
CHEMBL3192179,,,Small molecule,,449.49,36,47,0.91,148.76,8,4,0,7,N,0.28,8.54,0.56,1.31,1.28,2,MOL,-1,31,10,4,0,449.1257,-1.4,NEUTRAL,C20H23N3O7S,O=C(CCc1ccc(S(=O)(=O)N2CCOCC2)cc1)N/N=C/c1ccc(O)c(O)c1O,NMXNPWKITYWSKN-FYJGNVAPSA-N
CHEMBL1526855,,,Small molecule,,331.8,86,132,3.7,54.45,3,0,0,2,N,0.83,None,None,2.57,2.57,1,MOL,-1,23,4,0,0,331.0975,-0.54,NEUTRAL,C18H18ClNO3,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,NVNGUFUOKYOUJL-UHFFFAOYSA-N
CHEMBL4633218,,,Unknown,,515.66,5,9,4.3,129.33,4,5,1,14,N,0.12,12.38,11.73,3.8,1.73,3,MOL,-1,38,8,6,2,515.2896,-0.62,BASE,C30H37N5O3,CCCCCC(=O)N[C@H](C(=O)NCc1cccc(CNC(=N)N)c1)c1ccc(OCc2ccccc2)cc1,NLFNUEDXYWPIOS-NDEPHWFRSA-N
CHEMBL378506,BENZOXABOROLE,"Benzo[C][1,2]Oxaborol-1(3H)-Ol|Benzoxaborole",Small molecule,,133.94,87,112,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,134.0539,None,None,C7H7BO2,OB1OCc2ccccc21,XOQABDOICLHPIS-UHFFFAOYSA-N
CHEMBL1994371,,,Small molecule,,493.5,42,47,5.19,135.48,8,1,1,7,N,0.27,3.88,2.45,4.37,1.31,3,MOL,-1,35,10,1,1,493.0944,-1.53,ACID,C24H19N3O7S,CCN1C(=O)/C(=C\c2ccc(-c3ccc([N+](=O)[O-])cc3OC)o2)S/C1=N\c1cccc(C(=O)O)c1,YWRGQXIDZMNJKU-XHFTXJRRSA-N
CHEMBL1571889,,,Small molecule,,404.49,45,53,2.63,104.58,6,2,0,7,N,0.24,7.44,0.36,4.21,3.93,1,MOL,-1,28,8,2,0,404.1518,-1.25,NEUTRAL,C19H24N4O4S,CC(C)CN(CC(C)C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1[N+](=O)[O-],BWEKPQUKWLNUKX-UHFFFAOYSA-N
CHEMBL4860519,,,Unknown,,635.77,1,2,3.25,184.45,6,7,2,16,N,0.04,12.29,11.77,2.86,0.77,4,MOL,-1,47,11,9,3,635.322,-0.35,BASE,C36H41N7O4,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](Cc1ccc(N)cc1)C(=O)NCc1ccc(OCc2ccccc2)cc1,CVEMOQCRCUFKLH-ACHIHNKUSA-N
CHEMBL1578299,,,Small molecule,,327.25,33,44,1.6,131.55,6,2,0,3,N,0.38,6.82,None,1.35,0.69,2,MOL,-1,24,9,2,0,327.0491,-1.16,NEUTRAL,C15H9N3O6,O=C1NC(=O)C(=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)N1,IUNXQTGUWLWPQU-UHFFFAOYSA-N
CHEMBL1568333,,,Small molecule,,479.49,14,18,2.95,107.65,8,1,0,3,N,0.41,None,0.94,3.82,3.82,2,MOL,-1,34,9,1,0,479.1064,-1.58,NEUTRAL,C23H18FN5O4S,N=C1/C(=C\c2ccc(OC(=O)c3ccc(F)cc3)cc2)C(=O)N=C2SC(N3CCOCC3)=NN12,CPYNWLCFSNOUPH-RKTZKFLQSA-N
CHEMBL5085863,,,Unknown,,465.49,1,1,3.72,122.74,9,1,0,7,N,0.41,None,None,4.07,4.07,4,MOL,-1,33,9,2,0,465.0995,-0.98,NEUTRAL,C23H19N3O6S,COc1ccc(C(=O)Oc2cc(N)n(S(=O)(=O)c3ccc(Oc4ccccc4)cc3)n2)cc1,LKNJFZXIYMTZLO-UHFFFAOYSA-N
CHEMBL1608853,,,Small molecule,,268.22,41,57,2.44,84.58,4,1,0,2,N,0.67,3.59,None,1.98,-1.37,2,MOL,-1,20,5,1,0,268.0372,-0.47,ACID,C15H8O5,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,LTRVPABSHOFVKX-GHXNOFRVSA-N
CHEMBL1400127,,,Small molecule,,466.49,28,30,5.79,115.41,3,4,1,8,N,0.22,3.1,None,5.41,-1.39,5,MOL,-1,35,7,4,1,466.1529,-0.23,ACID,C28H22N2O5,C=CCOc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,ZOVZWGOWOVVTJH-UHFFFAOYSA-N
CHEMBL1482595,,,Small molecule,,335.32,15,15,3.5,135.61,6,2,0,7,N,0.44,3.61,None,3.71,0.37,1,MOL,-1,24,9,2,0,335.1117,-0.7,ACID,C15H17N3O6,O=C(O)c1cc([N+](=O)[O-])c(NCCC2=CCCCC2)c([N+](=O)[O-])c1,MRRYUBVKSSVFLN-UHFFFAOYSA-N
CHEMBL1375750,,,Small molecule,,285.3,18,21,2.41,57.12,5,0,0,5,N,0.47,None,None,2.93,2.93,1,MOL,-1,21,5,0,0,285.1001,-0.98,NEUTRAL,C16H15NO4,C#CCOc1ccc(/C=C2/C(=O)ON=C2C)cc1OCC,FIEXIANEWJDMNN-UKTHLTGXSA-N
CHEMBL3191525,,,Small molecule,,386.48,36,51,5.53,54.71,5,1,1,3,N,0.47,8.61,None,6.45,6.42,4,MOL,-1,28,4,1,1,386.1089,-0.73,NEUTRAL,C23H18N2O2S,COc1ccc2c(c1)-c1nc(/N=C/c3c(O)ccc4ccccc34)sc1CC2,OMXLJPJHRBQBCC-ZMOGYAJESA-N
CHEMBL3145223,,,Small molecule,,497.51,11,13,4.06,138.95,7,3,0,6,N,0.24,5.73,1.28,3.49,1.31,5,MOL,-1,37,10,3,0,497.1699,-0.6,ACID,C27H23N5O5,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,KAWKOCYHRZERMG-UHFFFAOYSA-N
CHEMBL468553,,,Small molecule,,239.68,6,20,3.02,39.19,4,0,0,2,N,0.76,None,1.99,2.93,2.93,2,MOL,-1,15,3,0,0,238.9808,-2.12,NEUTRAL,C10H6ClNO2S,O=C(Oc1cncc(Cl)c1)c1cccs1,PAVJYVVZIJTAHT-UHFFFAOYSA-N
CHEMBL1459491,,,Small molecule,,408.37,28,37,2.98,147.71,8,3,0,7,N,0.4,9.64,None,3.98,3.98,3,MOL,-1,30,10,3,0,408.107,-1.35,NEUTRAL,C20H16N4O6,O=C(COc1ccccc1/C=C\c1nc(O)nc(O)c1[N+](=O)[O-])Nc1ccccc1,WZPAIXBGNXLFOX-KHPPLWFESA-N
CHEMBL1322139,,,Small molecule,,297.27,18,22,1.05,97.27,5,2,0,1,N,0.61,6.83,None,0.2,-0.45,2,MOL,-1,22,7,2,0,297.075,-0.85,NEUTRAL,C15H11N3O4,CC(=O)n1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,AFWXGUGBULJJBI-UHFFFAOYSA-N
CHEMBL1528850,,,Small molecule,,433.22,22,24,1.54,130.39,6,3,0,5,N,0.48,3.89,2.18,1.61,-2.04,2,MOL,-1,27,9,3,0,432.0069,-1.19,ACID,C17H13BrN4O5,O=C(O)CCn1cc(C=C2C(=O)NC(=O)NC2=O)c(-c2ccc(Br)cc2)n1,WJTRPDBFQYZKSK-UHFFFAOYSA-N
CHEMBL1599120,,,Small molecule,,453.4,36,56,5.37,71.44,5,1,1,3,N,0.63,5.44,None,4.95,3,1,MOL,-1,27,4,1,1,452.0657,-0.14,ACID,C21H25BrO4S,CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(Br)s2)C(=O)C1,HEANFNVQNLVDJH-UHFFFAOYSA-N
CHEMBL4531546,,,Unknown,,299.33,4,4,1.86,126.25,4,5,0,4,N,0.33,12.9,11.87,1.15,-0.96,2,MOL,-1,22,7,7,1,299.1382,-0.8,BASE,C15H17N5O2,N=C(N)NCc1ccc(NC(=O)Oc2ccc(N)cc2)cc1,WBIVETMRIUVCQZ-UHFFFAOYSA-N
CHEMBL1454835,,,Small molecule,,443.46,14,15,3.77,108.71,5,2,0,4,N,0.47,4.65,None,4.2,0.65,3,MOL,-1,33,8,2,0,443.1481,-1.48,ACID,C25H21N3O5,Cc1ccc(N2C(=O)NC(=O)/C(=C\c3cc(C)n(-c4ccc(C(=O)O)cc4)c3C)C2=O)cc1,UVYBUVXTOVILPS-FYJGNVAPSA-N
CHEMBL1426440,,,Small molecule,,440.89,38,64,4.46,80.36,6,0,0,2,N,0.43,6.34,None,4.52,3.43,3,MOL,-1,32,6,0,0,440.104,-0.14,ACID,C25H17ClN4O2,COC(=O)[C@@H]1[C@@H](C#N)C2(c3ccccc3-c3ccccc32)N(c2ccc(Cl)cc2)N1C#N,HVQDLADDHYEBQN-PKTZIBPZSA-N
CHEMBL1370025,,,Small molecule,,434.52,15,15,2.79,103.78,6,2,0,5,N,0.55,4.05,None,3.93,0.59,2,MOL,-1,28,7,2,0,434.0065,-1.45,ACID,C18H14N2O5S3,Cc1ccc(S(=O)(=O)NN2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)cc1,XRDAJMXNFRPPNK-GDNBJRDFSA-N
CHEMBL1503442,,,Small molecule,,315.33,17,23,3.65,59.3,4,1,0,2,N,0.58,9.97,None,3.84,3.84,3,MOL,-1,24,4,1,0,315.0895,-0.68,NEUTRAL,C20H13NO3,O=C1C(=Cc2cccn2-c2ccc(O)cc2)C(=O)c2ccccc21,OUOUCHDQRGGLDH-UHFFFAOYSA-N
CHEMBL393834,,,Small molecule,,345.38,28,38,3.54,95.86,5,3,0,4,N,0.63,-2.04,0.95,1.58,0.73,3,MOL,-1,24,6,3,0,345.0671,-0.49,ACID,C17H15NO5S,COc1ccccc1Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,XWZHIFXGDVIKDU-UHFFFAOYSA-N
CHEMBL1344491,,,Small molecule,,451.96,37,59,3.47,114.8,8,1,0,7,N,0.55,6.05,None,3.77,2.73,3,MOL,-1,29,8,1,0,451.054,-2.57,ACID,C18H18ClN5O3S2,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,KTHRYUDJDPXKKD-UHFFFAOYSA-N
CHEMBL1610382,,,Small molecule,,517.69,27,39,6.74,74.68,3,1,2,6,N,0.39,3.91,None,7.69,4.48,3,MOL,-1,37,5,1,2,517.2287,-0.58,ACID,C31H35NO4S,CCc1ccc([C@@H]2CC=C(C(=O)O)[C@H](c3ccc(C(C)(C)C)cc3)N2S(=O)(=O)c2ccc(C)cc2)cc1,MYGRUOCPDVHFGR-VMPREFPWSA-N
CHEMBL3194143,,,Small molecule,,474.9,19,20,4.68,112.13,5,3,0,7,N,0.27,3.97,None,4.78,1.6,4,MOL,-1,34,7,3,0,474.0982,-1.1,ACID,C26H19ClN2O5,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,YYOBCMDPFNCHHM-LQKURTRISA-N
CHEMBL1542511,,,Small molecule,,268.34,28,31,3.55,32.67,3,0,0,2,N,0.77,None,None,3.49,3.49,2,MOL,-1,19,3,0,0,268.067,-2.16,NEUTRAL,C15H12N2OS,CC1=NN(c2ccccc2)C(=O)/C1=C/c1cccs1,VUYSZSSFJKWRMX-GXDHUFHOSA-N
CHEMBL1564699,,,Small molecule,,423.9,64,108,4.18,103.7,5,3,0,6,N,0.41,3.28,None,3.55,-0.07,3,MOL,-1,27,6,3,0,423.0002,-1.34,ACID,C18H14ClNO5S2,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc2c1O,NLRVCTAQYTWYQX-UHFFFAOYSA-N
CHEMBL1310865,,,Small molecule,,433.51,52,76,3.92,112.93,6,3,0,8,N,0.36,3.29,None,3.14,-0.41,3,MOL,-1,29,7,3,0,433.0654,-1.27,ACID,C20H19NO6S2,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,SGGQBTHMXMJMPS-UHFFFAOYSA-N
